scPagwas.TRS.Score,scPagwas.gPAS.score,Random_Correct_BG_p,Random_Correct_BG_adjp,Random_Correct_BG_z
-0.30205616,-46561.47448151709,1.0,1.0,-10.0
-0.20928666,3001.7872544060697,1.0,1.0,-10.0
-0.17413777,35997.093462615274,1.0,1.0,-10.0
-0.2950623,37850.04114181625,1.0,1.0,-10.0
-0.2337205,-0.024759529574748133,1.0,1.0,-10.0
-0.13935173,-3489.6360159815395,1.0,1.0,-10.0
-0.13897376,26305.909507708955,1.0,1.0,-10.0
-0.20233937,9723.966966367452,1.0,1.0,-10.0
-0.1476648,-14227.14723150664,0.9992944624346474,1.0,-3.192376007148511
-0.13376011,-17728.923304758053,0.9986863363674696,1.0,-3.0082779449569195
-0.24794666,-17192.48447915661,1.0,1.0,-10.0
-0.19981088,-347691.41301290866,1.0,1.0,-10.0
-0.12135546,450.9374910880237,0.7260482520898245,1.0,-0.6009046501250873
-0.13804725,416948.3116326717,1.0,1.0,-10.0
-0.14690734,-1324.8911894092455,1.0,1.0,-10.0
-0.29401967,67998.59762955105,1.0,1.0,-10.0
-0.2445401,1133.6253691775605,1.0,1.0,-10.0
-0.18243706,-84487.08365133384,1.0,1.0,-10.0
-0.24179392,497441.0272052954,1.0,1.0,-10.0
-0.18820515,105737.18587108646,1.0,1.0,-10.0
-0.16067582,211520.1696892299,1.0,1.0,-10.0
-0.14418182,118323.70632460255,1.0,1.0,-10.0
-0.12959518,-2857.283235389545,0.999980517700365,1.0,-4.113534964073315
-0.13477731,-69820.46472805762,0.9975494050244851,1.0,-2.8134572704271554
-0.20150629,203112.2786536004,1.0,1.0,-10.0
-0.121066265,-17.302757124465703,0.9674297697887979,1.0,-1.8442929360062261
-0.24219279,12968.578239109964,1.0,1.0,-10.0
-0.21038419,92804.90140560658,1.0,1.0,-10.0
-0.1384118,-246842.6558638409,0.9999958252215068,1.0,-4.456019168182133
-0.16097793,-33849.54065190788,1.0,1.0,-10.0
-0.4224052,119819.28900747129,1.0,1.0,-10.0
-0.30487856,-23782.53210569041,1.0,1.0,-10.0
-0.23499404,1924.4988536518913,1.0,1.0,-10.0
-0.2679883,-42838.16869223268,1.0,1.0,-10.0
-0.20528905,96689.49410434549,1.0,1.0,-10.0
-0.19978748,-125.55614099713355,1.0,1.0,-10.0
-0.13619448,-67463.30888666457,0.9999972168143378,1.0,-4.542224510600091
-0.17040256,1618.6420819484588,1.0,1.0,-10.0
-0.26510024,-53572.59205780263,1.0,1.0,-10.0
-0.26429307,-8507.476281070833,1.0,1.0,-10.0
-0.19115007,-140.29956869261414,1.0,1.0,-10.0
-0.20412472,9973.018137842257,1.0,1.0,-10.0
-0.17557341,-99.22237288621137,1.0,1.0,-10.0
-0.11334677,-93464.56427093888,0.022506230856901118,0.037153635409531684,2.0045379892395685
-0.25458068,-36069.13219372213,1.0,1.0,-10.0
-0.19634357,127590.21646128573,1.0,1.0,-10.0
-0.1799589,282.89539186662813,1.0,1.0,-10.0
-0.19915728,-19127.985223711647,1.0,1.0,-10.0
-0.21346092,374805.282952851,1.0,1.0,-10.0
-0.32021958,267055.32204835577,1.0,1.0,-10.0
-0.13862519,39.266098542732145,1.0,1.0,-10.0
-0.1256723,69836.38293504703,0.9382925990918465,1.0,-1.5405973971205587
-0.1345534,-239995.73449671487,1.0,1.0,-10.0
-0.2157402,2200.5196797596413,1.0,1.0,-10.0
-0.24961235,27179.178425175214,1.0,1.0,-10.0
-0.2455536,9624.016920752054,1.0,1.0,-10.0
-0.24342869,113409.91496144263,1.0,1.0,-10.0
-0.2454898,-78270.72049688267,1.0,1.0,-10.0
-0.2962489,184537.84688822253,1.0,1.0,-10.0
-0.29522768,43254.45066305987,1.0,1.0,-10.0
-0.26304746,8676.611418415025,1.0,1.0,-10.0
-0.18945816,-248917.73653358003,1.0,1.0,-10.0
-0.28513223,-15577.736212703283,1.0,1.0,-10.0
-0.20105009,-87889.8149291667,1.0,1.0,-10.0
-0.13573904,1055.8219704407818,1.0,1.0,-10.0
-0.24112482,-20347.525575455235,1.0,1.0,-10.0
-0.15293822,21802.727303275762,1.0,1.0,-10.0
-0.20880981,-32.929006217043735,1.0,1.0,-10.0
-0.2504842,144717.46624824632,1.0,1.0,-10.0
-0.23598899,-1558.7470955347214,1.0,1.0,-10.0
-0.31960765,576765.9771701015,1.0,1.0,-10.0
-0.18104133,6.172453137611662,1.0,1.0,-10.0
-0.20530505,28629.285259930573,1.0,1.0,-10.0
-0.40680042,51331.79310181561,1.0,1.0,-10.0
-0.20153743,-3233.6985000247328,1.0,1.0,-10.0
-0.25579235,-229896.53774292988,1.0,1.0,-10.0
-0.13228689,645712.7109303349,1.0,1.0,-10.0
-0.21310467,-7346.596352196827,1.0,1.0,-10.0
-0.29888833,-109401.74096522745,1.0,1.0,-10.0
-0.21584111,408816.57477044,1.0,1.0,-10.0
-0.21466865,1331.1073784289508,1.0,1.0,-10.0
-0.10314676,-9142.112531190107,6.957964155351857e-06,1.2385417493276801e-05,4.345183501570331
-0.18142647,15612.954207797682,1.0,1.0,-10.0
-0.15085961,786692.2474301555,1.0,1.0,-10.0
-0.14965414,105987.89865047214,1.0,1.0,-10.0
-0.43044406,138713.05038389543,1.0,1.0,-10.0
-0.35184902,-220777.79989860742,1.0,1.0,-10.0
-0.23402448,26767.417123578452,1.0,1.0,-10.0
-0.15482703,22317.235848104145,1.0,1.0,-10.0
-0.22198875,-23409.956431029943,1.0,1.0,-10.0
-0.14081503,86833.37675837145,1.0,1.0,-10.0
-0.23794161,1564.6741495295212,1.0,1.0,-10.0
-0.13194232,39632.71359176483,0.9985680509768285,1.0,-2.981980965066788
-0.11273632,14465.7782326649,0.000535763239962093,0.0009199509300758903,3.2710402778853376
-0.18803737,-105201.92201958263,1.0,1.0,-10.0
-0.19417766,2698.374117319207,1.0,1.0,-10.0
-0.16726314,1795.654208070394,1.0,1.0,-10.0
-0.15252236,-272.8916082486492,1.0,1.0,-10.0
-0.16388202,87849.60966457684,1.0,1.0,-10.0
-0.1703616,220520.59405248525,1.0,1.0,-10.0
-0.22425072,218807.11213037907,1.0,1.0,-10.0
-0.2618577,-37182.597817115406,1.0,1.0,-10.0
-0.18299206,83705.6569263273,1.0,1.0,-10.0
-0.272902,-138376.92000178833,1.0,1.0,-10.0
-0.20927238,271124.4009471435,1.0,1.0,-10.0
-0.14829275,-3.85193556464598,1.0,1.0,-10.0
-0.39353016,109239.0404881526,1.0,1.0,-10.0
-0.13935207,16553.554692449263,1.0,1.0,-10.0
-0.16173945,-86848.79870485132,1.0,1.0,-10.0
-0.08347878,2889.8294081355034,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.38027507,-95305.53480372606,1.0,1.0,-10.0
-0.27283978,-63.23825591915697,1.0,1.0,-10.0
-0.21525069,-82862.78435404711,1.0,1.0,-10.0
